Date,High,low,Close,No.of Trades,Turn over
04-01-10,38.50,36.50,38.00,92,"10,562,925.00"
05-01-10,39.25,37.25,38.00,132,"11,778,225.00"
06-01-10,38.50,37.75,38.00,47,"3,991,075.00"
07-01-10,38.00,37.00,37.50,37,"3,723,125.00"
08-01-10,38.00,37.50,38.00,24,"1,792,725.00"
11-01-10,38.50,37.75,38.00,70,"8,614,275.00"
12-01-10,38.25,37.50,37.50,35,"3,082,300.00"
13-01-10,38.50,37.50,38.00,59,"22,754,500.00"
15-01-10,38.25,37.50,38.00,52,"44,922,025.00"
18-01-10,38.25,37.50,38.00,64,"30,539,775.00"
19-01-10,38.00,37.25,37.75,41,"2,622,125.00"
20-01-10,38.75,37.75,38.50,67,"5,741,775.00"
21-01-10,38.50,38.00,38.00,30,"7,763,850.00"
22-01-10,38.75,38.50,38.50,55,"3,913,950.00"
25-01-10,38.75,38.00,38.50,56,"4,550,300.00"
26-01-10,39.50,38.50,39.00,52,"3,270,475.00"
28-01-10,39.50,37.00,39.00,83,"11,127,425.00"
01-02-10,39.50,39.00,39.25,59,"29,284,350.00"
02-02-10,39.75,39.00,39.25,53,"4,460,525.00"
03-02-10,39.50,38.50,38.75,27,"1,263,125.00"
05-02-10,39.00,38.25,38.75,18,"1,917,250.00"
08-02-10,39.00,38.50,39.00,31,"1,119,775.00"
09-02-10,39.00,37.75,37.75,44,"2,547,250.00"
10-02-10,38.50,37.50,38.00,49,"7,083,300.00"
11-02-10,39.00,37.25,38.25,78,"5,199,100.00"
12-02-10,38.75,37.00,37.25,32,"1,759,050.00"
15-02-10,39.00,37.00,39.00,79,"226,212,925.00"
16-02-10,38.75,37.00,37.50,14,"198,875.00"
17-02-10,37.50,36.75,36.75,21,"899,225.00"
18-02-10,38.00,36.75,37.00,26,"8,459,675.00"
19-02-10,38.00,37.25,37.50,61,"5,298,625.00"
22-02-10,37.50,36.75,37.00,34,"1,822,100.00"
23-02-10,37.00,36.50,36.75,12,"481,025.00"
24-02-10,37.00,36.50,36.50,27,"569,625.00"
25-02-10,37.00,36.50,37.00,20,"818,275.00"
26-02-10,37.50,36.75,36.75,34,"1,207,775.00"
01-03-10,37.50,36.75,37.25,47,"1,891,875.00"
