Date,High,Low,Close,No. of Trades,Turn Over
04-01-10,171.75, 167.00 , 170.50 , 141.00 ," 38,279,425.00 "
05-01-10,177.50, 170.00 , 172.50 , 99.00 ," 18,554,350.00 "
06-01-10,174.00, 170.00 , 171.00 , 54.00 ," 14,014,050.00 "
07-01-10,170.00, 166.50 , 169.25 , 30.00 ," 3,064,450.00 "
08-01-10,171.25, 169.00 , 171.00 , 34.00 ," 11,946,300.00 "
11-01-10,172.00, 169.25 , 169.75 , 46.00 ," 5,876,700.00 "
12-01-10,169.25, 165.50 , 168.00 , 32.00 ," 7,194,200.00 "
13-01-10,169.00, 168.00 , 168.00 , 22.00 ," 2,564,225.00 "
15-01-10,168.00, 167.50 , 167.50 , 31.00 ," 6,341,025.00 "
18-01-10,168.00, 166.00 , 166.25 , 54.00 ," 10,564,125.00 "
19-01-10,165.00, 164.50 , 165.00 , 52.00 ," 7,853,750.00 "
20-01-10,168.00, 165.50 , 168.00 , 37.00 ," 6,046,700.00 "
21-01-10,170.25, 167.00 , 167.75 , 25.00 ," 4,574,900.00 "
22-01-10,168.25, 166.75 , 167.00 , 25.00 ," 4,447,650.00 "
25-01-10,168.00, 166.00 , 167.25 , 83.00 ," 15,677,775.00 "
26-01-10,172.00, 167.00 , 169.75 , 25.00 ," 3,320,775.00 "
28-01-10,172.00, 167.00 , 171.75 , 94.00 ," 36,315,475.00 "
01-02-10,176.00, 172.50 , 175.00 , 68.00 ," 23,107,500.00 "
02-02-10,176.00, 174.25 , 175.25 , 70.00 ," 50,193,350.00 "
03-02-10,178.00, 174.25 , 177.00 , 89.00 ," 54,484,575.00 "
05-02-10,177.00, 175.00 , 175.25 , 19.00 ," 3,000,600.00 "
08-02-10,176.50, 175.00 , 176.00 , 40.00 ," 45,784,850.00 "
09-02-10,175.00, 170.00 , 175.00 , 23.00 ," 8,728,100.00 "
10-02-10,175.00, 174.00 , 174.50 , 23.00 ," 4,618,200.00 "
11-02-10,176.00, 170.25 , 175.00 , 76.00 ," 90,676,625.00 "
12-02-10,176.50, 174.00 , 176.25 , 90.00 ," 66,884,450.00 "
15-02-10,177.00, 174.00 , 176.00 , 62.00 ," 26,415,150.00 "
16-02-10,176.25, 175.00 , 175.75 , 51.00 ," 28,689,075.00 "
17-02-10,177.00, 176.00 , 177.00 , 37.00 ," 11,307,025.00 "
18-02-10,177.00, 176.00 , 176.00 , 20.00 ," 18,076,050.00 "
19-02-10,177.25, 176.00 , 177.00 , 22.00 ," 7,618,450.00 "
22-02-10,177.25, 176.00 , 177.00 , 27.00 ," 24,125,200.00 "
23-02-10,178.75, 177.00 , 178.00 , 48.00 ," 6,198,175.00 "
24-02-10,178.50, 176.00 , 178.25 , 27.00 ," 13,604,900.00 "
25-02-10,179.00, 176.00 , 178.00 , 29.00 ," 14,775,050.00 "
26-02-10,178.00, 177.00 , 178.00 , 16.00 ," 5,855,000.00 "
01-03-10,179.00, 177.00 , 178.00 , 28.00 ," 6,975,050.00 "
02-03-10,179.50, 178.00 , 178.75 , 27.00 ," 19,363,875.00 "
03-03-10,178.50, 178.00 , 178.25 , 21.00 ," 10,296,525.00 "
04-03-10,183.50, 179.00 , 183.25 , 56.00 ," 19,574,225.00 "
05-03-10,183.00, 180.00 , 180.25 , 15.00 ," 1,460,775.00 "
08-03-10,181.00, 180.00 , 180.00 , 31.00 ," 10,728,475.00 "
09-03-10,180.00, 179.00 , 180.00 , 26.00 ," 10,601,500.00 "
10-03-10,180.00, 178.00 , 178.25 , 4.00 ," 196,200.00 "
11-03-10,181.50, 179.00 , 181.25 , 48.00 ," 170,662,475.00 "
12-03-10,182.00, 180.00 , 181.75 , 27.00 ," 3,789,500.00 "
15-03-10,182.00, 180.00 , 180.25 , 8.00 ," 631,325.00 "
16-03-10,181.75, 180.25 , 181.25 , 29.00 ," 19,915,000.00 "
17-03-10,181.75, 181.50 , 181.50 , 47.00 ," 49,313,800.00 "
18-03-10,181.25, 175.00 , 180.50 , 32.00 ," 23,888,325.00 "
19-03-10,180.50, 180.00 , 180.00 , 27.00 ," 16,750,300.00 "
22-03-10,180.00, 178.50 , 178.50 , 20.00 ," 6,491,800.00 "
23-03-10,179.75, 178.50 , 178.50 , 12.00 ," 2,642,050.00 "
24-03-10,178.50, 178.00 , 178.00 , 5.00 ," 2,620,400.00 "
